N,Result,Time,Speedup,Efficiency
0,3318599117,605,1,1
1,3318599117,325,1.86154,0.930769
2,3229120631,236,2.56356,0.85452
3,3318599117,204,2.96569,0.741422
4,3264912025,206,2.93689,0.587379
5,2871206687,162,3.73457,0.622428
6,3203555348,155,3.90323,0.557604
7,3318599117,138,4.38406,0.548007
