N,Result,Time,Speedup,Efficiency
0,3318599117,799,1,1
1,3318599117,570,1.40175,0.700877
2,3318599117,584,1.36815,0.45605
3,3318599117,614,1.3013,0.325326
4,3318599117,537,1.4879,0.297579
5,3318599117,399,2.00251,0.333751
6,3318599117,392,2.03827,0.291181
7,3318599117,392,2.03827,0.254783
