N,Result,Time,Speedup,Efficiency
0,3318599117,765,1,1
1,3318599117,403,1.89826,0.949132
2,3318599117,336,2.27679,0.758929
3,3318599117,295,2.59322,0.648305
4,3318599117,238,3.21429,0.642857
5,3318599117,229,3.34061,0.556769
6,3318599117,217,3.52535,0.503621
7,3318599117,224,3.41518,0.426897
