N,Result,Time,Speedup,Efficiency
0,3318599117,325,1,1
1,3318599117,168,1.93452,0.967262
2,3318599117,127,2.55906,0.853018
3,3318599117,116,2.80172,0.700431
4,3318599117,120,2.70833,0.541667
5,3318599117,99,3.28283,0.547138
6,3318599117,111,2.92793,0.418275
7,3318599117,115,2.82609,0.353261
