N,Result,Time,Speedup,Efficiency
0,3318599117,589,1,1
1,3318599117,248,2.375,1.1875
2,3318599117,206,2.85922,0.953074
3,3318599117,147,4.0068,1.0017
4,3318599117,146,4.03425,0.806849
5,3318599117,132,4.46212,0.743687
6,3318599117,121,4.86777,0.695396
7,3318599117,121,4.86777,0.608471
