N,Result,Time,Speedup,Efficiency
0,3318599117,371,1,1
1,3318599117,217,1.70968,0.854839
2,3318599117,172,2.15698,0.718992
3,3318599117,138,2.68841,0.672101
4,3318599117,157,2.36306,0.472611
5,3318599117,128,2.89844,0.483073
6,3318599117,121,3.06612,0.438017
7,3318599117,118,3.14407,0.393008
