N,Result,Time,Speedup,Efficiency
0,3318599117,255,1,1
1,3318599117,270,0.944444,0.472222
2,3318599117,290,0.87931,0.293103
3,3318599117,272,0.9375,0.234375
4,3318599117,265,0.962264,0.192453
5,3318599117,271,0.940959,0.156827
6,3318599117,257,0.992218,0.141745
7,3318599117,248,1.02823,0.128528
